Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
innovative-wtqwt,Innovative wtqwt,<p>High-quality wtqwt for all your needs.</p>,EcoGoods,Fashion,Fashion,"wtqwt, fashion, ecogoods",TRUE,Size,Large,Color,White,,,6373-335,275,shopify,49,deny,manual,196.27,,TRUE,TRUE,927957149262,https://example.com/images/innovative-wtqwt.jpg,1,Innovative wtqwt,FALSE,Innovative wtqwt,Buy our innovative wtqwt - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,5.69,,,active
deluxe-wtqwt,Deluxe wtqwt,<p>High-quality wtqwt for all your needs.</p>,FashionHub,Beauty,Beauty,"wtqwt, beauty, fashionhub",TRUE,Size,Small,Color,Black,,,6116-841,575,shopify,80,deny,manual,166.46,,TRUE,TRUE,619761321962,https://example.com/images/deluxe-wtqwt.jpg,1,Deluxe wtqwt,FALSE,Deluxe wtqwt,Buy our deluxe wtqwt - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,86.18,,,active
sleek-wtqwt,Sleek wtqwt,<p>High-quality wtqwt for all your needs.</p>,SportsPro,Fashion,Fashion,"wtqwt, fashion, sportspro",TRUE,Size,Small,Color,Black,,,6358-853,848,shopify,100,deny,manual,123.89,,TRUE,TRUE,346264926691,https://example.com/images/sleek-wtqwt.jpg,1,Sleek wtqwt,FALSE,Sleek wtqwt,Buy our sleek wtqwt - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,19.81,,,active
deluxe-wtqwt,Deluxe wtqwt,<p>High-quality wtqwt for all your needs.</p>,FashionHub,Sports & Outdoors,Sports & Outdoors,"wtqwt, sports & outdoors, fashionhub",TRUE,Size,Medium,Color,Blue,,,2365-921,280,shopify,68,deny,manual,14.23,,TRUE,TRUE,320798917223,https://example.com/images/deluxe-wtqwt.jpg,1,Deluxe wtqwt,FALSE,Deluxe wtqwt,Buy our deluxe wtqwt - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,21.20,,,active
sleek-wtqwt,Sleek wtqwt,<p>High-quality wtqwt for all your needs.</p>,FashionHub,Sports & Outdoors,Sports & Outdoors,"wtqwt, sports & outdoors, fashionhub",TRUE,Size,Large,Color,Blue,,,6618-993,260,shopify,69,deny,manual,135.02,,TRUE,TRUE,232516749351,https://example.com/images/sleek-wtqwt.jpg,1,Sleek wtqwt,FALSE,Sleek wtqwt,Buy our sleek wtqwt - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,64.94,,,active
deluxe-wtqwt,Deluxe wtqwt,<p>High-quality wtqwt for all your needs.</p>,EcoGoods,Home & Garden,Home & Garden,"wtqwt, home & garden, ecogoods",TRUE,Size,Medium,Color,Black,,,9770-495,434,shopify,37,deny,manual,74.05,,TRUE,TRUE,519186664637,https://example.com/images/deluxe-wtqwt.jpg,1,Deluxe wtqwt,FALSE,Deluxe wtqwt,Buy our deluxe wtqwt - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,32.04,,,active
innovative-wtqwt,Innovative wtqwt,<p>High-quality wtqwt for all your needs.</p>,EcoGoods,Home & Garden,Home & Garden,"wtqwt, home & garden, ecogoods",TRUE,Size,Small,Color,White,,,1967-231,944,shopify,67,deny,manual,128.51,,TRUE,TRUE,346028475407,https://example.com/images/innovative-wtqwt.jpg,1,Innovative wtqwt,FALSE,Innovative wtqwt,Buy our innovative wtqwt - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,68.93,,,active
sleek-wtqwt,Sleek wtqwt,<p>High-quality wtqwt for all your needs.</p>,TechCo,Electronics,Electronics,"wtqwt, electronics, techco",TRUE,Size,Medium,Color,Green,,,7161-294,190,shopify,37,deny,manual,161.96,,TRUE,TRUE,892088284676,https://example.com/images/sleek-wtqwt.jpg,1,Sleek wtqwt,FALSE,Sleek wtqwt,Buy our sleek wtqwt - perfect for any electronics enthusiast!,,,,,,,,,,,,,,,g,,80.38,,,active
sleek-wtqwt,Sleek wtqwt,<p>High-quality wtqwt for all your needs.</p>,EcoGoods,Sports & Outdoors,Sports & Outdoors,"wtqwt, sports & outdoors, ecogoods",TRUE,Size,Small,Color,Green,,,7589-130,249,shopify,56,deny,manual,72.30,,TRUE,TRUE,279296519389,https://example.com/images/sleek-wtqwt.jpg,1,Sleek wtqwt,FALSE,Sleek wtqwt,Buy our sleek wtqwt - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,40.96,,,active
premium-wtqwt,Premium wtqwt,<p>High-quality wtqwt for all your needs.</p>,FashionHub,Fashion,Fashion,"wtqwt, fashion, fashionhub",TRUE,Size,Small,Color,White,,,7422-443,343,shopify,74,deny,manual,72.43,,TRUE,TRUE,588791817930,https://example.com/images/premium-wtqwt.jpg,1,Premium wtqwt,FALSE,Premium wtqwt,Buy our premium wtqwt - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,74.38,,,active
