Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
innovative-yes,Innovative yes,<p>High-quality yes for all your needs.</p>,EcoGoods,Electronics,Electronics,"yes, electronics, ecogoods",TRUE,Size,Small,Color,Red,,,3107-854,157,shopify,17,deny,manual,14.65,,TRUE,TRUE,728064584547,https://example.com/images/innovative-yes.jpg,1,Innovative yes,FALSE,Innovative yes,Buy our innovative yes - perfect for any electronics enthusiast!,,,,,,,,,,,,,,,g,,88.67,,,active
innovative-yes,Innovative yes,<p>High-quality yes for all your needs.</p>,FashionHub,Sports & Outdoors,Sports & Outdoors,"yes, sports & outdoors, fashionhub",TRUE,Size,Small,Color,Green,,,9846-645,611,shopify,99,deny,manual,77.00,,TRUE,TRUE,516032047937,https://example.com/images/innovative-yes.jpg,1,Innovative yes,FALSE,Innovative yes,Buy our innovative yes - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,86.62,,,active
sleek-yes,Sleek yes,<p>High-quality yes for all your needs.</p>,BeautyEssentials,Beauty,Beauty,"yes, beauty, beautyessentials",TRUE,Size,Large,Color,White,,,1900-804,286,shopify,33,deny,manual,123.02,,TRUE,TRUE,581126735624,https://example.com/images/sleek-yes.jpg,1,Sleek yes,FALSE,Sleek yes,Buy our sleek yes - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,75.85,,,active
premium-yes,Premium yes,<p>High-quality yes for all your needs.</p>,EcoGoods,Sports & Outdoors,Sports & Outdoors,"yes, sports & outdoors, ecogoods",TRUE,Size,Medium,Color,White,,,3153-255,251,shopify,32,deny,manual,47.47,,TRUE,TRUE,454194345251,https://example.com/images/premium-yes.jpg,1,Premium yes,FALSE,Premium yes,Buy our premium yes - perfect for any sports & outdoors enthusiast!,,,,,,,,,,,,,,,g,,92.09,,,active
deluxe-yes,Deluxe yes,<p>High-quality yes for all your needs.</p>,BeautyEssentials,Home & Garden,Home & Garden,"yes, home & garden, beautyessentials",TRUE,Size,Medium,Color,Green,,,5514-759,867,shopify,24,deny,manual,74.23,,TRUE,TRUE,474491718279,https://example.com/images/deluxe-yes.jpg,1,Deluxe yes,FALSE,Deluxe yes,Buy our deluxe yes - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,88.81,,,active
innovative-yes,Innovative yes,<p>High-quality yes for all your needs.</p>,SportsPro,Beauty,Beauty,"yes, beauty, sportspro",TRUE,Size,Large,Color,Green,,,6805-855,247,shopify,13,deny,manual,96.70,,TRUE,TRUE,712176324879,https://example.com/images/innovative-yes.jpg,1,Innovative yes,FALSE,Innovative yes,Buy our innovative yes - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,33.52,,,active
sleek-yes,Sleek yes,<p>High-quality yes for all your needs.</p>,EcoGoods,Beauty,Beauty,"yes, beauty, ecogoods",TRUE,Size,Medium,Color,Blue,,,5072-281,417,shopify,1,deny,manual,200.01,,TRUE,TRUE,517320279002,https://example.com/images/sleek-yes.jpg,1,Sleek yes,FALSE,Sleek yes,Buy our sleek yes - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,6.53,,,active
premium-yes,Premium yes,<p>High-quality yes for all your needs.</p>,BeautyEssentials,Fashion,Fashion,"yes, fashion, beautyessentials",TRUE,Size,Medium,Color,White,,,1217-449,384,shopify,61,deny,manual,181.40,,TRUE,TRUE,310830030067,https://example.com/images/premium-yes.jpg,1,Premium yes,FALSE,Premium yes,Buy our premium yes - perfect for any fashion enthusiast!,,,,,,,,,,,,,,,g,,27.47,,,active
premium-yes,Premium yes,<p>High-quality yes for all your needs.</p>,FashionHub,Home & Garden,Home & Garden,"yes, home & garden, fashionhub",TRUE,Size,Medium,Color,Black,,,9091-602,309,shopify,21,deny,manual,123.58,,TRUE,TRUE,549548730078,https://example.com/images/premium-yes.jpg,1,Premium yes,FALSE,Premium yes,Buy our premium yes - perfect for any home & garden enthusiast!,,,,,,,,,,,,,,,g,,51.56,,,active
innovative-yes,Innovative yes,<p>High-quality yes for all your needs.</p>,SportsPro,Beauty,Beauty,"yes, beauty, sportspro",TRUE,Size,Medium,Color,Red,,,1299-183,398,shopify,95,deny,manual,147.50,,TRUE,TRUE,143348028769,https://example.com/images/innovative-yes.jpg,1,Innovative yes,FALSE,Innovative yes,Buy our innovative yes - perfect for any beauty enthusiast!,,,,,,,,,,,,,,,g,,64.91,,,active
